executive_order_id,pdf_url,citation,start_page,end_page,title,signing_date,publication_date,president
13545,https://www.govinfo.gov/content/pkg/FR-2010-06-28/pdf/2010-15851.pdf,75 FR 37283,37283,37285,"President's Council on Fitness, Sports, and Nutrition",2010-06-22,06/28/2010,Barack Obama
13544,https://www.govinfo.gov/content/pkg/FR-2010-06-16/pdf/2010-14613.pdf,75 FR 33983,33983,33986,"Establishing the National Prevention, Health Promotion, and Public Health Council",2010-06-10,06/16/2010,Barack Obama
13543,https://www.govinfo.gov/content/pkg/FR-2010-05-26/pdf/2010-12805.pdf,75 FR 29397,29397,29398,National Commission on the BP Deepwater Horizon Oil Spill and Offshore Drilling,2010-05-21,05/26/2010,Barack Obama
13542,https://www.govinfo.gov/content/pkg/FR-2010-05-18/pdf/2010-12070.pdf,75 FR 27921,27921,27922,Providing an Order of Succession Within the Department of Agriculture,2010-05-13,05/18/2010,Barack Obama
13541,https://www.govinfo.gov/content/pkg/FR-2010-05-12/pdf/2010-11557.pdf,75 FR 26879,26879,26880,Temporary Organization To Facilitate a Strategic Partnership With the Republic of Iraq,2010-05-07,05/12/2010,Barack Obama
13540,https://www.govinfo.gov/content/pkg/FR-2010-04-29/pdf/2010-10172.pdf,75 FR 22497,22497,22498,Interagency Task Force on Veterans Small Business Development,2010-04-26,04/29/2010,Barack Obama
13539,https://www.govinfo.gov/content/pkg/FR-2010-04-27/pdf/2010-9796.pdf,75 FR 21973,21973,21975,President's Council of Advisors on Science and Technology,2010-04-21,04/27/2010,Barack Obama
13538,https://www.govinfo.gov/content/pkg/FR-2010-04-22/pdf/2010-9451.pdf,75 FR 20895,20895,20896,Establishing the President's Management Advisory Board,2010-04-19,04/22/2010,Barack Obama
13537,https://www.govinfo.gov/content/pkg/FR-2010-04-19/pdf/2010-9078.pdf,75 FR 20237,20237,20238,Interagency Group on Insular Areas,2010-04-14,04/19/2010,Barack Obama
13536,https://www.govinfo.gov/content/pkg/FR-2010-04-15/pdf/2010-8878.pdf,75 FR 19869,19869,19872,Blocking Property of Certain Persons Contributing to the Conflict in Somalia,2010-04-12,04/15/2010,Barack Obama
13535,https://www.govinfo.gov/content/pkg/FR-2010-03-29/pdf/2010-7154.pdf,75 FR 15599,15599,15600,Ensuring Enforcement and Implementation of Abortion Restrictions in the Patient Protection and Affordable Care Act,2010-03-24,03/29/2010,Barack Obama
13534,https://www.govinfo.gov/content/pkg/FR-2010-03-16/pdf/2010-5837.pdf,75 FR 12433,12433,12435,National Export Initiative,2010-03-11,03/16/2010,Barack Obama
13533,https://www.govinfo.gov/content/pkg/FR-2010-03-05/pdf/2010-4884.pdf,75 FR 10163,10163,10164,Providing an Order of Succession Within the Department of Defense,2010-03-01,03/05/2010,Barack Obama
13532,https://www.govinfo.gov/content/pkg/FR-2010-03-03/pdf/2010-4593.pdf,75 FR 9749,9749,9752,"Promoting Excellence, Innovation, and Sustainability at Historically Black Colleges and Universities",2010-02-26,03/03/2010,Barack Obama
13531,https://www.govinfo.gov/content/pkg/FR-2010-02-23/pdf/2010-3725.pdf,75 FR 7927,7927,7928,National Commission on Fiscal Responsibility and Reform,2010-02-18,02/23/2010,Barack Obama
13530,https://www.govinfo.gov/content/pkg/FR-2010-02-03/pdf/2010-2419.pdf,75 FR 5481,5481,5483,President's Advisory Council on Financial Capability,2010-01-29,02/03/2010,Barack Obama
13529,https://www.govinfo.gov/content/pkg/FR-2010-01-21/pdf/2010-1229.pdf,75 FR 3331,3331,3331,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty,2010-01-16,01/21/2010,Barack Obama
13528,https://www.govinfo.gov/content/pkg/FR-2010-01-14/pdf/2010-705.pdf,75 FR 2053,2053,2054,Establishment of the Council of Governors,2010-01-11,01/14/2010,Barack Obama
13526,https://www.govinfo.gov/content/pkg/FR-2010-01-08/pdf/C1-2009-31418.pdf,75 FR 1013,1013,1013,Correction,2009-12-29,01/08/2010,Barack Obama
13527,https://www.govinfo.gov/content/pkg/FR-2010-01-06/pdf/2010-38.pdf,75 FR 737,737,738,Establishing Federal Capability for the Timely Provision of Medical Countermeasures Following a Biological Attack,2009-12-30,01/06/2010,Barack Obama
13526,https://www.govinfo.gov/content/pkg/FR-2010-01-05/pdf/E9-31418.pdf,75 FR 707,707,731,Classified National Security Information,2009-12-29,01/05/2010,Barack Obama
13525,https://www.govinfo.gov/content/pkg/FR-2009-12-30/pdf/E9-31098.pdf,74 FR 69231,69231,69242,Adjustments of Certain Rates of Pay,2009-12-23,12/30/2009,Barack Obama
13524,https://www.govinfo.gov/content/pkg/FR-2009-12-21/pdf/E9-30413.pdf,74 FR 67803,67803,67803,"Amending Executive Order 12425 Designating Interpol as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities",2009-12-16,12/21/2009,Barack Obama
13523,https://www.govinfo.gov/content/pkg/FR-2009-12-16/pdf/E9-30020.pdf,74 FR 66563,66563,66563,"Half-Day Closing of Executive Departments and Agencies on Thursday, December 24, 2009",2009-12-11,12/16/2009,Barack Obama
13522,https://www.govinfo.gov/content/pkg/FR-2009-12-14/pdf/E9-29781.pdf,74 FR 66203,66203,66206,Creating Labor-Management Forums to Improve Delivery of Government Services,2009-12-09,12/14/2009,Barack Obama
13521,https://www.govinfo.gov/content/pkg/FR-2009-11-30/pdf/E9-28805.pdf,74 FR 62671,62671,62673,Establishing the Presidential Commission for the Study of Bioethical Issues,2009-11-24,11/30/2009,Barack Obama
13520,https://www.govinfo.gov/content/pkg/FR-2009-11-25/pdf/E9-28493.pdf,74 FR 62201,62201,62205,Reducing Improper Payments,2009-11-20,11/25/2009,Barack Obama
13519,https://www.govinfo.gov/content/pkg/FR-2009-11-19/pdf/E9-28022.pdf,74 FR 60123,60123,60125,Establishment of the Financial Fraud Enforcement Task Force,2009-11-17,11/19/2009,Barack Obama
13518,https://www.govinfo.gov/content/pkg/FR-2009-11-13/pdf/E9-27441.pdf,74 FR 58533,58533,58536,Employment of Veterans in the Federal Government,2009-11-09,11/13/2009,Barack Obama
13517,https://www.govinfo.gov/content/pkg/FR-2009-11-05/pdf/E9-26834.pdf,74 FR 57239,57239,57240,Amendments to Executive Orders 13183 and 13494,2009-10-30,11/05/2009,Barack Obama
13516,https://www.govinfo.gov/content/pkg/FR-2009-11-02/pdf/E9-26408.pdf,74 FR 56521,56521,56522,Amending Executive Order 13462,2009-11-02,11/02/2009,Barack Obama
13515,https://www.govinfo.gov/content/pkg/FR-2009-10-19/pdf/E9-25268.pdf,74 FR 53635,53635,53638,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs,2009-10-14,10/19/2009,Barack Obama
13514,https://www.govinfo.gov/content/pkg/FR-2009-10-08/pdf/E9-24518.pdf,74 FR 52117,52117,52127,"Federal Leadership in Environmental, Energy, and Economic Performance",2009-10-05,10/08/2009,Barack Obama
13513,https://www.govinfo.gov/content/pkg/FR-2009-10-06/pdf/E9-24203.pdf,74 FR 51225,51225,51227,Federal Leadership On Reducing Text Messaging While Driving,2009-10-01,10/06/2009,Barack Obama
13512,https://www.govinfo.gov/content/pkg/FR-2009-10-02/pdf/E9-23915.pdf,74 FR 50911,50911,50911,Amending Executive Order 13390,2009-09-29,10/02/2009,Barack Obama
13511,https://www.govinfo.gov/content/pkg/FR-2009-10-01/pdf/E9-23886.pdf,74 FR 50909,50909,50910,Continuance of Certain Federal Advisory Committees,2009-09-29,10/01/2009,Barack Obama
13510,https://www.govinfo.gov/content/pkg/FR-2009-07-06/pdf/E9-16034.pdf,74 FR 32047,32047,32047,Waiver Under the Trade Act of 1974 With Respect to the Republic of Belarus,2009-07-01,07/06/2009,Barack Obama
13509,https://www.govinfo.gov/content/pkg/FR-2009-06-26/pdf/E9-15368.pdf,74 FR 30903,30903,30905,Establishing a White House Council on Automotive Communities and Workers,2009-06-23,06/26/2009,Barack Obama
13508,https://www.govinfo.gov/content/pkg/FR-2009-05-15/pdf/E9-11547.pdf,74 FR 23099,23099,23104,Chesapeake Bay Protection and Restoration,2009-05-12,05/15/2009,Barack Obama
13507,https://www.govinfo.gov/content/pkg/FR-2009-04-13/pdf/E9-8572.pdf,74 FR 17071,17071,17073,Establishment of the White House Office of Health Reform,2009-04-08,04/13/2009,Barack Obama
13506,https://www.govinfo.gov/content/pkg/FR-2009-03-16/pdf/E9-5802.pdf,74 FR 11271,11271,11273,Establishing a White House Council on Women And Girls,2009-03-11,03/16/2009,Barack Obama
13505,https://www.govinfo.gov/content/pkg/FR-2009-03-11/pdf/E9-5441.pdf,74 FR 10667,10667,10668,Removing Barriers to Responsible Scientific Research Involving Human Stem Cells,2009-03-09,03/11/2009,Barack Obama
13503,https://www.govinfo.gov/content/pkg/FR-2009-02-24/pdf/E9-4068.pdf,74 FR 8139,8139,8140,Establishment of the White House Office of Urban Affairs,2009-02-19,02/24/2009,Barack Obama
13504,https://www.govinfo.gov/content/pkg/FR-2009-02-24/pdf/E9-4103.pdf,74 FR 8431,8431,8431,Amending Executive Order 13390,2009-02-20,02/24/2009,Barack Obama
13499,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3106.pdf,74 FR 6979,6979,6979,"Further Amendments to Executive Order 12835, Establishment of the National Economic Council",2009-02-05,02/11/2009,Barack Obama
13500,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3108.pdf,74 FR 6981,6981,6981,"Further Amendments to Executive Order 12859, Establishment of the Domestic Policy Council",2009-02-05,02/11/2009,Barack Obama
13501,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3112.pdf,74 FR 6983,6983,6984,Establishment of the President's Economic Recovery Advisory Board,2009-02-06,02/11/2009,Barack Obama
13502,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3113.pdf,74 FR 6985,6985,6987,Use of Project Labor Agreements for Federal Construction Projects,2009-02-06,02/11/2009,Barack Obama
13498,https://www.govinfo.gov/content/pkg/FR-2009-02-09/pdf/E9-2893.pdf,74 FR 6533,6533,6535,Amendments to Executive Order 13199 and Establishment of the President's Advisory Council for Faith-Based and Neighborhood Partnerships,2009-02-05,02/09/2009,Barack Obama
13494,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2483.pdf,74 FR 6101,6101,6102,Economy in Government Contracting,2009-01-30,02/04/2009,Barack Obama
13495,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2484.pdf,74 FR 6103,6103,6106,Nondisplacement of Qualified Workers Under Service Contracts,2009-01-30,02/04/2009,Barack Obama
13496,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2485.pdf,74 FR 6107,6107,6111,Notification of Employee Rights Under Federal Labor Laws,2009-01-30,02/04/2009,Barack Obama
13497,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2486.pdf,74 FR 6113,6113,6113,Revocation of Certain Executive Orders Concerning Regulatory Planning and Review,2009-01-30,02/04/2009,Barack Obama
13491,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1885.pdf,74 FR 4893,4893,4896,Ensuring Lawful Interrogations,2009-01-22,01/27/2009,Barack Obama
13492,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1893.pdf,74 FR 4897,4897,4900,Review and Disposition of Individuals Detained At the Guantanamo Bay Naval Base and Closure of Detention Facilities,2009-01-22,01/27/2009,Barack Obama
13493,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1895.pdf,74 FR 4901,4901,4902,Review of Detention Policy Options,2009-01-22,01/27/2009,Barack Obama
13489,https://www.govinfo.gov/content/pkg/FR-2009-01-26/pdf/E9-1712.pdf,74 FR 4669,4669,4671,Presidential Records,2009-01-21,01/26/2009,Barack Obama
13490,https://www.govinfo.gov/content/pkg/FR-2009-01-26/pdf/E9-1719.pdf,74 FR 4673,4673,4678,Ethics Commitments by Executive Branch Personnel,2009-01-21,01/26/2009,Barack Obama
13197,https://www.govinfo.gov/content/pkg/FR-2001-01-25/pdf/01-2398.pdf,66 FR 7853,7853,7854,Governmentwide Accountability for Merit System Principles; Workforce Information,2001-01-18,01/25/2001,William Clinton
13192,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2138.pdf,66 FR 7379,7379,7385,Lifting and Modifying Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),2001-01-17,01/23/2001,William Clinton
13193,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2139.pdf,66 FR 7387,7387,7388,Federal Leadership on Global Tobacco Control and Prevention,2001-01-18,01/23/2001,William Clinton
13194,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2140.pdf,66 FR 7389,7389,7390,Prohibiting the Importation of Rough Diamonds From Sierra Leone,2001-01-18,01/23/2001,William Clinton
13195,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2141.pdf,66 FR 7391,7391,7393,Trails for America in the 21st Century,2001-01-18,01/23/2001,William Clinton
13196,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2214.pdf,66 FR 7395,7395,7397,Final Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve,2001-01-18,01/23/2001,William Clinton
13191,https://www.govinfo.gov/content/pkg/FR-2001-01-22/pdf/01-2014.pdf,66 FR 7271,7271,7273,Implementation of the African Growth and Opportunity Act and the United States-Caribbean Basin Trade Partnership Act,2001-01-17,01/22/2001,William Clinton
13189,https://www.govinfo.gov/content/pkg/FR-2001-01-19/pdf/01-1813.pdf,66 FR 5421,5421,5423,Federal Interagency Task Force on the District of Columbia,2001-01-15,01/19/2001,William Clinton
13190,https://www.govinfo.gov/content/pkg/FR-2001-01-19/pdf/01-1814.pdf,66 FR 5424,5424,5425,President's Commission on Educational Resource Equity,2001-01-15,01/19/2001,William Clinton
13188,https://www.govinfo.gov/content/pkg/FR-2001-01-18/pdf/01-1736.pdf,66 FR 5419,5419,5419,"Amendment to Executive Order 13111, Extension of the Advisory Committee on Expanding Training Opportunities",2001-01-12,01/18/2001,William Clinton
13186,https://www.govinfo.gov/content/pkg/FR-2001-01-17/pdf/01-1387.pdf,66 FR 3853,3853,3856,Responsibilities of Federal Agencies To Protect Migratory Birds,2001-01-10,01/17/2001,William Clinton
13187,https://www.govinfo.gov/content/pkg/FR-2001-01-17/pdf/01-1438.pdf,66 FR 3857,3857,3858,The President's Disability Employment Partnership Board,2001-01-10,01/17/2001,William Clinton
13184,https://www.govinfo.gov/content/pkg/FR-2001-01-03/pdf/01-255.pdf,66 FR 697,697,697,Revocation of Executive Order 12834,2000-12-28,01/03/2001,William Clinton
13185,https://www.govinfo.gov/content/pkg/FR-2001-01-03/pdf/01-321.pdf,66 FR 701,701,702,To Strengthen the Federal Government-University Research Partnership,2000-12-28,01/03/2001,William Clinton
13182,https://www.govinfo.gov/content/pkg/FR-2000-12-29/pdf/00-33450.pdf,65 FR 82879,82879,82888,Adjustments of Certain Rates of Pay,2000-12-23,12/29/2000,William Clinton
13183,https://www.govinfo.gov/content/pkg/FR-2000-12-29/pdf/00-33451.pdf,65 FR 82889,82889,82890,Establishment of the President's Task Force on Puerto Rico's Status,2000-12-23,12/29/2000,William Clinton
13181,https://www.govinfo.gov/content/pkg/FR-2000-12-26/pdf/00-33004.pdf,65 FR 81321,81321,81323,To Protect the Privacy of Protected Health Information in Oversight Investigations,2000-12-20,12/26/2000,William Clinton
13179,https://www.govinfo.gov/content/pkg/FR-2000-12-11/pdf/00-31692.pdf,65 FR 77487,77487,77490,Providing Compensation to America's Nuclear Weapons Workers,2000-12-07,12/11/2000,William Clinton
13180,https://www.govinfo.gov/content/pkg/FR-2000-12-11/pdf/00-31697.pdf,65 FR 77493,77493,77494,Air Traffic Performance-Based Organization,2000-12-07,12/11/2000,William Clinton
13178,https://www.govinfo.gov/content/pkg/FR-2000-12-07/pdf/00-31313.pdf,65 FR 76903,76903,76910,Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve,2000-12-04,12/07/2000,William Clinton
13177,https://www.govinfo.gov/content/pkg/FR-2000-12-06/pdf/00-31252.pdf,65 FR 76558,76558,76559,National Commission on the Use of Offsets in Defense Trade and President's Council on the Use of Offsets in Commercial Trade,2000-12-04,12/06/2000,William Clinton
13176,https://www.govinfo.gov/content/pkg/FR-2000-11-30/pdf/00-30690.pdf,65 FR 71233,71233,71234,Facilitation of a Presidential Transition,2000-11-27,11/30/2000,William Clinton
13175,https://www.govinfo.gov/content/pkg/FR-2000-11-09/pdf/00-29003.pdf,65 FR 67249,67249,67252,Consultation and Coordination With Indian Tribal Governments,2000-11-06,11/09/2000,William Clinton
13174,https://www.govinfo.gov/content/pkg/FR-2000-11-02/pdf/00-28299.pdf,65 FR 65705,65705,65706,"Commission on Workers, Communities, and Economic Change in the New Economy",2000-10-27,11/02/2000,William Clinton
13172,https://www.govinfo.gov/content/pkg/FR-2000-10-27/pdf/00-27892.pdf,65 FR 64577,64577,64577,"Amendment to Executive Order 13078, To Expand the Role of the National Task Force on Employment of Adults With Disabilities To Include a Focus on Youth",2000-10-25,10/27/2000,William Clinton
13173,https://www.govinfo.gov/content/pkg/FR-2000-10-27/pdf/00-27893.pdf,65 FR 64579,64579,64580,Interagency Task Force on the Economic Development of the Central San Joaquin Valley,2000-10-25,10/27/2000,William Clinton
13171,https://www.govinfo.gov/content/pkg/FR-2000-10-16/pdf/00-26716.pdf,65 FR 61251,61251,61253,Hispanic Employment in the Federal Government,2000-10-12,10/16/2000,William Clinton
13169,https://www.govinfo.gov/content/pkg/FR-2000-10-12/pdf/00-26397.pdf,65 FR 60581,60581,60582,Assistance to Small Business Exporters and Dislocated,2000-10-06,10/12/2000,William Clinton
13170,https://www.govinfo.gov/content/pkg/FR-2000-10-12/pdf/00-26446.pdf,65 FR 60827,60827,60830,Increasing Opportunities and Access for Disadvantaged Businesses,2000-10-06,10/12/2000,William Clinton
13168,https://www.govinfo.gov/content/pkg/FR-2000-09-27/pdf/00-24978.pdf,65 FR 58217,58217,58218,President's Commission on Improving Economic Opportunity in Communities Dependent on Tobacco Production While Protecting Public Health,2000-09-22,09/27/2000,William Clinton
13167,https://www.govinfo.gov/content/pkg/FR-2000-09-20/pdf/00-24364.pdf,65 FR 57079,57079,57079,"Amendment to Executive Order 13147, Increasing the Membership of the White House Commission on Complementary and Alternative Medicine Policy",2000-09-15,09/20/2000,William Clinton
13166,https://www.govinfo.gov/content/pkg/FR-2000-08-16/pdf/00-20938.pdf,65 FR 50121,50121,50122,Improving Access to Services for Persons With Limited English Proficiency,2000-08-11,08/16/2000,William Clinton
13165,https://www.govinfo.gov/content/pkg/FR-2000-08-14/pdf/00-20670.pdf,65 FR 49469,49469,49470,Creation of the White House Task Force on Drug Use in Sports and Authorization for the Director of the Office of National Drug Control Policy To Serve as the United States Government's Representative on the Board of the World Anti-Doping Agency,2000-08-09,08/14/2000,William Clinton
13163,https://www.govinfo.gov/content/pkg/FR-2000-07-28/pdf/00-19322.pdf,65 FR 46563,46563,46564,Increasing the Opportunity for Individuals With Disabilities To Be Employed in the Federal Government,2000-07-26,07/28/2000,William Clinton
13164,https://www.govinfo.gov/content/pkg/FR-2000-07-28/pdf/00-19323.pdf,65 FR 46565,46565,46566,Requiring Federal Agencies To Establish Procedures To Facilitate the Provision of Reasonable Accommodation,2000-07-26,07/28/2000,William Clinton
13162,https://www.govinfo.gov/content/pkg/FR-2000-07-12/pdf/00-17829.pdf,65 FR 43211,43211,43212,Federal Career Intern Program,2000-07-06,07/12/2000,William Clinton
13161,https://www.govinfo.gov/content/pkg/FR-2000-07-05/pdf/00-17174.pdf,65 FR 41543,41543,41543,Establishment of the Presidential Medal of Valor for Public Safety Officers,2000-06-29,07/05/2000,William Clinton
13160,https://www.govinfo.gov/content/pkg/FR-2000-06-27/pdf/00-16434.pdf,65 FR 39775,39775,39778,"Nondiscrimination on the Basis of Race, Sex, Color, National Origin, Disability, Religion, Age, Sexual Orientation, and Status as a Parent in Federally Conducted Education and Training Programs",2000-06-23,06/27/2000,William Clinton
13159,https://www.govinfo.gov/content/pkg/FR-2000-06-26/pdf/00-16252.pdf,65 FR 39279,39279,39280,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons,2000-06-21,06/26/2000,William Clinton
13158,https://www.govinfo.gov/content/pkg/FR-2000-05-31/pdf/00-13830.pdf,65 FR 34909,34909,34911,Marine Protected Areas,2000-05-26,05/31/2000,William Clinton
13157,https://www.govinfo.gov/content/pkg/FR-2000-05-25/pdf/00-13367.pdf,65 FR 34035,34035,34037,Increasing Opportunities for Women-Owned Small Businesses,2000-05-23,05/25/2000,William Clinton
13156,https://www.govinfo.gov/content/pkg/FR-2000-05-19/pdf/00-12840.pdf,65 FR 31785,31785,31785,Amendment to Executive Order 12871 Regarding the National Partnership Council,2000-05-17,05/19/2000,William Clinton
13155,https://www.govinfo.gov/content/pkg/FR-2000-05-12/pdf/00-12177.pdf,65 FR 30521,30521,30523,Access to HIV/AIDS Pharmaceuticals and Medical,2000-05-10,05/12/2000,William Clinton
13153,https://www.govinfo.gov/content/pkg/FR-2000-05-05/pdf/00-11531.pdf,65 FR 26475,26475,26477,Actions To Improve Low-Performing Schools,2000-05-03,05/05/2000,William Clinton
13154,https://www.govinfo.gov/content/pkg/FR-2000-05-05/pdf/00-11532.pdf,65 FR 26479,26479,26479,Establishing the Kosovo Campaign Medal,2000-05-03,05/05/2000,William Clinton
13152,https://www.govinfo.gov/content/pkg/FR-2000-05-04/pdf/00-11336.pdf,65 FR 26115,26115,26115,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in Federal Government",2000-05-02,05/04/2000,William Clinton
13151,https://www.govinfo.gov/content/pkg/FR-2000-05-02/pdf/00-11070.pdf,65 FR 25619,25619,25621,Global Disaster Information Network,2000-04-27,05/02/2000,William Clinton
13148,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10550.pdf,65 FR 24595,24595,24606,Greening the Government Through Leadership in Environmental Management,2000-04-21,04/26/2000,William Clinton
13149,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10551.pdf,65 FR 24607,24607,24611,Greening the Government Through Federal Fleet and Transportation Efficiency,2000-04-21,04/26/2000,William Clinton
13150,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10552.pdf,65 FR 24613,24613,24614,Federal Workforce Transportation,2000-04-21,04/26/2000,William Clinton
13147,https://www.govinfo.gov/content/pkg/FR-2000-03-10/pdf/00-6126.pdf,65 FR 13233,13233,13234,White House Commission on Complementary and Alternative Medicine Policy,2000-03-07,03/10/2000,William Clinton
13146,https://www.govinfo.gov/content/pkg/FR-2000-03-02/pdf/00-5209.pdf,65 FR 11201,11201,11202,"President's Council on the Future of Princeville, North Carolina",2000-02-29,03/02/2000,William Clinton
13145,https://www.govinfo.gov/content/pkg/FR-2000-02-10/pdf/00-3331.pdf,65 FR 6877,6877,6880,To Prohibit Discrimination in Federal Employment Based on Genetic Information,2000-02-08,02/10/2000,William Clinton
13144,https://www.govinfo.gov/content/pkg/FR-1999-12-23/pdf/99-33511.pdf,64 FR 72237,72237,72247,Adjustments of Certain Rates of Pay,1999-12-21,12/23/1999,William Clinton
13143,https://www.govinfo.gov/content/pkg/FR-1999-12-06/pdf/99-31748.pdf,64 FR 68273,68273,68273,"Amending Executive Order 10173, as Amended, Prescribing Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States",1999-12-01,12/06/1999,William Clinton
13142,https://www.govinfo.gov/content/pkg/FR-1999-11-23/pdf/99-30687.pdf,64 FR 66089,66089,66090,Amendment To Executive Order 12958-Classified National Security Information,1999-11-19,11/23/1999,William Clinton
13141,https://www.govinfo.gov/content/pkg/FR-1999-11-18/pdf/99-30346.pdf,64 FR 63169,63169,63170,Environmental Review of Trade Agreements,1999-11-16,11/18/1999,William Clinton
13140,https://www.govinfo.gov/content/pkg/FR-1999-10-12/pdf/99-26670.pdf,64 FR 55115,55115,55123,"1999 Amendments to the Manual for Courts-Martial, United States",1999-10-06,10/12/1999,William Clinton
13139,https://www.govinfo.gov/content/pkg/FR-1999-10-05/pdf/99-26078.pdf,64 FR 54175,54175,54178,Improving Health Protection of Military Personnel Participating in Particular Military Operations,1999-09-30,10/05/1999,William Clinton
13138,https://www.govinfo.gov/content/pkg/FR-1999-10-04/pdf/99-25958.pdf,64 FR 53879,53879,53881,Continuance of Certain Federal Advisory Committees,1999-09-30,10/04/1999,William Clinton
13137,https://www.govinfo.gov/content/pkg/FR-1999-09-20/pdf/99-24582.pdf,64 FR 50733,50733,50733,"Amendment to Executive Order 12975, as Amended, National Bioethics Advisory Commission",1999-09-15,09/20/1999,William Clinton
13136,https://www.govinfo.gov/content/pkg/FR-1999-09-08/pdf/99-23508.pdf,64 FR 48931,48931,48931,"Amendment to Executive Order 13090, President's Commission on the Celebration of Women in American History",1999-09-03,09/08/1999,William Clinton
13135,https://www.govinfo.gov/content/pkg/FR-1999-08-31/pdf/99-22778.pdf,64 FR 47339,47339,47339,"Amendment to Executive Order 12216, President's Committee on the International Labor Organization",1999-08-27,08/31/1999,William Clinton
13134,https://www.govinfo.gov/content/pkg/FR-1999-08-16/pdf/99-21392.pdf,64 FR 44639,44639,44642,Developing and Promoting Biobased Products and Bioenergy,1999-08-12,08/16/1999,William Clinton
13133,https://www.govinfo.gov/content/pkg/FR-1999-08-11/pdf/99-20924.pdf,64 FR 43895,43895,43896,Working Group on Unlawful Conduct on the Internet,1999-08-05,08/11/1999,William Clinton
13132,https://www.govinfo.gov/content/pkg/FR-1999-08-10/pdf/99-20729.pdf,64 FR 43255,43255,43259,Federalism,1999-08-04,08/10/1999,William Clinton
13131,https://www.govinfo.gov/content/pkg/FR-1999-07-27/pdf/99-19396.pdf,64 FR 40733,40733,40734,"Further Amendments to Executive Order 12757, Implementation of the Enterprise for the Americas Initiative",1999-07-22,07/27/1999,William Clinton
13130,https://www.govinfo.gov/content/pkg/FR-1999-07-19/pdf/99-18476.pdf,64 FR 38535,38535,38536,National Infrastructure Assurance Council,1999-07-14,07/19/1999,William Clinton
13129,https://www.govinfo.gov/content/pkg/FR-1999-07-07/pdf/99-17444.pdf,64 FR 36759,36759,36761,Blocking Property and Prohibiting Transactions With the Taliban,1999-07-04,07/07/1999,William Clinton
13128,https://www.govinfo.gov/content/pkg/FR-1999-06-28/pdf/99-16634.pdf,64 FR 34703,34703,34704,Implementation of the Chemical Weapons Convention and the Chemical Weapons Convention Implementation Act,1999-06-25,06/28/1999,William Clinton
13127,https://www.govinfo.gov/content/pkg/FR-1999-06-17/pdf/99-15623.pdf,64 FR 32793,32793,32793,"Amendment to Executive Order 13073, Year 2000 Conversion",1999-06-14,06/17/1999,William Clinton
13126,https://www.govinfo.gov/content/pkg/FR-1999-06-16/pdf/99-15491.pdf,64 FR 32383,32383,32385,Prohibition of Acquisition of Products Produced by Forced or Indentured Child Labor,1999-06-12,06/16/1999,William Clinton
13125,https://www.govinfo.gov/content/pkg/FR-1999-06-10/pdf/99-14901.pdf,64 FR 31105,31105,31107,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs,1999-06-07,06/10/1999,William Clinton
13124,https://www.govinfo.gov/content/pkg/FR-1999-06-09/pdf/99-14825.pdf,64 FR 31103,31103,31104,Amending the Civil Service Rules Relating To Federal Employees With Psychiatric Disabilities,1999-06-04,06/09/1999,William Clinton
13123,https://www.govinfo.gov/content/pkg/FR-1999-06-08/pdf/99-14633.pdf,64 FR 30851,30851,30860,Greening the Government Through Efficient Energy Management,1999-06-03,06/08/1999,William Clinton
